Location,Age,ID,Ref. ID,Invoice,Date,Time,Supplier,Supplier Type,Status,Total Qty,Total Disc1(Rs),Extra Disc,Taxable Value,GST-0,GST-3,GST-5,GST-12,GST-18,GST-28,GST-40,Total Tax,Round Off,Settled Amount,Due Amount
Main Store,0,PO-00001,REF-00001,INV-20251006-0001,06-10-2025,10:00:00,SUP-001,LOCAL,SETTLED,97,0,0,25462.5,0,0,0,0,0,0,0,1273.12,0,26735.62,0
Main Store,0,PO-00002,REF-00002,INV-20251006-0002,06-10-2025,10:00:00,SUP-001,LOCAL,SETTLED,51,0,0,26010.0,0,0,0,0,0,0,0,1300.5,0,27310.5,0
Main Store,0,PO-00003,REF-00003,INV-20251006-0003,06-10-2025,10:00:00,SUP-001,LOCAL,SETTLED,106,0,0,1908.0,0,0,0,0,0,0,0,0.0,0,1908.0,0
Main Store,0,PO-00004,REF-00004,INV-20251006-0004,06-10-2025,10:00:00,SUP-001,LOCAL,SETTLED,116,0,0,15225.0,0,0,0,0,0,0,0,761.25,0,15986.25,0
Main Store,0,PO-00005,REF-00005,INV-20251006-0005,06-10-2025,10:00:00,SUP-001,LOCAL,SETTLED,51,0,0,32130.0,0,0,0,0,0,0,0,1606.5,0,33736.5,0
Main Store,0,PO-00006,REF-00006,INV-20251006-0006,06-10-2025,10:00:00,SUP-001,LOCAL,SETTLED,48,0,0,4680.0,0,0,0,0,0,0,0,234.0,0,4914.0,0
Main Store,0,PO-00007,REF-00007,INV-20251006-0007,06-10-2025,10:00:00,SUP-001,LOCAL,SETTLED,57,0,0,10687.5,0,0,0,0,0,0,0,534.38,0,11221.88,0
Main Store,0,PO-00008,REF-00008,INV-20251006-0008,06-10-2025,10:00:00,SUP-003,LOCAL,SETTLED,91,0,0,19110.0,0,0,0,0,0,0,0,2293.2,0,21403.2,0
Main Store,0,PO-00009,REF-00009,INV-20251006-0009,06-10-2025,10:00:00,SUP-003,LOCAL,SETTLED,63,0,0,2835.0,0,0,0,0,0,0,0,340.2,0,3175.2,0
Main Store,0,PO-00010,REF-00010,INV-20251006-0010,06-10-2025,10:00:00,SUP-003,LOCAL,SETTLED,49,0,0,4410.0,0,0,0,0,0,0,0,529.2,0,4939.2,0
Main Store,0,PO-00011,REF-00011,INV-20251006-0011,06-10-2025,10:00:00,SUP-003,LOCAL,SETTLED,113,0,0,3390.0,0,0,0,0,0,0,0,169.5,0,3559.5,0
Main Store,0,PO-00012,REF-00012,INV-20251006-0012,06-10-2025,10:00:00,SUP-002,LOCAL,SETTLED,91,0,0,3412.5,0,0,0,0,0,0,0,0.0,0,3412.5,0
Main Store,0,PO-00013,REF-00013,INV-20251006-0013,06-10-2025,10:00:00,SUP-002,LOCAL,SETTLED,34,0,0,892.5,0,0,0,0,0,0,0,0.0,0,892.5,0
Main Store,0,PO-00014,REF-00014,INV-20251006-0014,06-10-2025,10:00:00,SUP-002,LOCAL,SETTLED,49,0,0,1102.5,0,0,0,0,0,0,0,0.0,0,1102.5,0
